,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000100526.20,406.9353885,2.884145341,0.173886825,16.58633623,8.75E-62,6.45E-60
ENSG00000128849.11,2284.058129,-2.216799103,0.133680025,-16.58287474,9.27E-62,6.82E-60
ENSG00000250899.3,153.5464169,-2.150921312,0.12971725,-16.58161362,9.47E-62,6.95E-60
ENSG00000090006.18,6137.709954,-2.220443539,0.133934673,-16.57855647,9.96E-62,7.30E-60
ENSG00000100034.14,1515.336147,-1.273252199,0.076849171,-16.56819702,1.18E-61,8.65E-60
ENSG00000179820.16,5439.237873,-1.977784787,0.119427968,-16.56048265,1.35E-61,9.81E-60
ENSG00000090932.11,159.7511852,6.736377242,0.406988059,16.55178104,1.55E-61,1.13E-59
ENSG00000273032.3,336.1654577,3.271236132,0.197644493,16.55111195,1.57E-61,1.14E-59
ENSG00000114346.14,2324.450917,2.168179902,0.131011072,16.54959291,1.61E-61,1.17E-59
ENSG00000123178.15,740.5315322,-1.27842823,0.077282811,-16.54220675,1.82E-61,1.32E-59
ENSG00000253177.2,15.95602702,-2.942868507,0.177933846,-16.53911589,1.92E-61,1.38E-59
ENSG00000164109.14,879.5778824,2.581264604,0.156078736,16.53822081,1.95E-61,1.40E-59
ENSG00000101307.16,391.3694659,-2.776733255,0.167928222,-16.53523886,2.05E-61,1.47E-59
ENSG00000165757.9,2825.499953,-2.094943654,0.126938736,-16.50358056,3.46E-61,2.48E-59
ENSG00000233221.7,31.46881958,6.724601314,0.407701793,16.49392137,4.06E-61,2.90E-59
ENSG00000272068.1,222.4483015,5.351050496,0.32449315,16.49048832,4.29E-61,3.06E-59
ENSG00000155066.16,3876.145037,2.61262815,0.158448185,16.48884867,4.41E-61,3.14E-59
ENSG00000206172.8,20.33145122,-4.382616768,0.265897923,-16.48232797,4.92E-61,3.49E-59
ENSG00000092421.17,569.2079393,-2.547822798,0.154630548,-16.47684004,5.38E-61,3.82E-59
ENSG00000159200.18,2147.252909,-1.808009477,0.109736026,-16.47598824,5.46E-61,3.86E-59
ENSG00000251230.6,23.80334351,-3.366735763,0.204435188,-16.46847488,6.18E-61,4.36E-59
ENSG00000153294.12,268.0534673,4.483101164,0.272389778,16.45840454,7.30E-61,5.14E-59
ENSG00000134201.12,197.1462458,-2.452655009,0.149106416,-16.449024,8.52E-61,5.99E-59
ENSG00000177098.9,443.7404231,-2.809886839,0.170825393,-16.44888264,8.54E-61,5.99E-59
ENSG00000150551.11,108.8704916,3.526019557,0.214496174,16.43861279,1.01E-60,7.08E-59
ENSG00000099617.4,59.33631572,5.96281292,0.362808607,16.43514735,1.07E-60,7.48E-59
ENSG00000165810.17,573.2660699,-3.414923605,0.207944018,-16.42232194,1.32E-60,9.23E-59
ENSG00000173517.10,2613.734299,-1.634484628,0.099553243,-16.41819575,1.42E-60,9.85E-59
ENSG00000066056.14,1536.696619,-1.973802639,0.120241543,-16.41531367,1.49E-60,1.03E-58
ENSG00000265055.2,56.80610858,3.034641958,0.185084966,16.39593979,2.04E-60,1.42E-58
ENSG00000178401.16,461.8534715,3.457694371,0.210924976,16.39300589,2.15E-60,1.48E-58
ENSG00000124116.19,485.1458522,3.935660085,0.240185602,16.38591181,2.41E-60,1.66E-58
ENSG00000171241.9,508.747674,2.285005976,0.139559714,16.3729626,2.98E-60,2.05E-58
ENSG00000204301.6,1255.959212,-1.832120305,0.111928953,-16.36860046,3.20E-60,2.20E-58
ENSG00000163467.12,37.13969086,3.099952628,0.189402756,16.36698801,3.29E-60,2.26E-58
ENSG00000158578.21,22.74240389,-4.094227326,0.250170155,-16.36577043,3.36E-60,2.30E-58
ENSG00000165548.11,507.4713146,4.004753234,0.244913074,16.35173318,4.23E-60,2.89E-58
ENSG00000245614.4,35.17540211,2.471646843,0.151163084,16.35086272,4.29E-60,2.92E-58
ENSG00000170417.16,383.6975937,1.546594779,0.09465363,16.33951886,5.17E-60,3.51E-58
ENSG00000060140.9,439.940669,2.603511846,0.159342868,16.33905474,5.21E-60,3.53E-58
ENSG00000130164.14,5853.758681,-2.121949066,0.129928238,-16.33170053,5.87E-60,3.97E-58
ENSG00000259072.2,11.23832033,-2.540072903,0.155557732,-16.32881162,6.16E-60,4.16E-58
ENSG00000176153.12,4786.091155,5.955560744,0.364735107,16.32845488,6.19E-60,4.17E-58
ENSG00000143633.13,608.5845507,1.013134131,0.06206041,16.32496672,6.56E-60,4.41E-58
ENSG00000182575.8,168.3101993,-2.423472978,0.14845361,-16.32478311,6.58E-60,4.42E-58
ENSG00000160161.9,539.6614806,3.489923748,0.213792216,16.32390466,6.67E-60,4.47E-58
ENSG00000164362.21,41.42163789,5.491269673,0.336612787,16.31331276,7.94E-60,5.31E-58
ENSG00000141527.18,399.0963566,3.453837207,0.211776566,16.30887342,8.54E-60,5.69E-58
ENSG00000260920.2,144.5515793,1.831894103,0.112330635,16.30805444,8.65E-60,5.76E-58
ENSG00000197299.12,318.2937259,2.14471575,0.131520853,16.30703954,8.80E-60,5.84E-58
ENSG00000131831.18,599.1251076,-2.132334239,0.130799009,-16.30237311,9.49E-60,6.30E-58
